Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","[davclnt.dll]","[davclnt.dll]",1,0,0.00,0.00,
"Callee","[davclnt.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Root","[dcomp.dll]","[dcomp.dll]",1,1,0.00,0.00,
"Caller","[dcomp.dll]","[dcomp.dll]",1,1,0.00,0.00,
"Caller","[dcomp.dll]","[ole32.dll]",1,0,0.00,0.00,
"Callee","[dcomp.dll]","[dcomp.dll]",1,1,0.00,0.00,
"Root","[DevDispItemProvider.dll]","[DevDispItemProvider.dll]",93,4,0.22,0.01,
"Caller","[DevDispItemProvider.dll]","[DevDispItemProvider.dll]",93,4,0.22,0.01,
"Callee","[DevDispItemProvider.dll]","[cfgmgr32.dll]",83,83,0.20,0.20,
"Callee","[DevDispItemProvider.dll]","[combase.dll]",5,5,0.01,0.01,
"Callee","[DevDispItemProvider.dll]","[DevDispItemProvider.dll]",93,4,0.22,0.01,
"Callee","[DevDispItemProvider.dll]","[msvcrt.dll]",1,1,0.00,0.00,
"Root","[devobj.dll]","[devobj.dll]",5,0,0.01,0.00,
"Caller","[devobj.dll]","[setupapi.dll]",5,0,0.01,0.00,
"Callee","[devobj.dll]","[cfgmgr32.dll]",4,4,0.01,0.01,
"Callee","[devobj.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[dfdll.dll]","[dfdll.dll]",286,13,0.68,0.03,
"Caller","[dfdll.dll]","[dfshim.dll]",286,13,0.68,0.03,
"Callee","[dfdll.dll]","[dfshim.dll]",273,1,0.65,0.00,
"Root","[dfshim.dll]","[dfshim.dll]",938,46,2.24,0.11,
"Caller","[dfshim.dll]","[dfdll.dll]",273,1,0.65,0.00,
"Caller","[dfshim.dll]","[dfshim.dll]",309,45,0.74,0.11,
"Callee","[dfshim.dll]","[clr.dll]",2,2,0.00,0.00,
"Callee","[dfshim.dll]","[dfdll.dll]",286,13,0.68,0.03,
"Callee","[dfshim.dll]","[dfshim.dll]",309,45,0.74,0.11,
"Callee","[dfshim.dll]","[kernel32.dll]",1,1,0.00,0.00,
"Callee","[dfshim.dll]","[KernelBase.dll]",228,228,0.55,0.55,
"Callee","[dfshim.dll]","[mscoree.dll]",9,9,0.02,0.02,
"Callee","[dfshim.dll]","[ntdll.dll]",12,12,0.03,0.03,
"Callee","[dfshim.dll]","[shell32.dll]",627,552,1.50,1.32,
"Root","[dhcpcsvc.dll]","[dhcpcsvc.dll]",101,1,0.24,0.00,
"Caller","[dhcpcsvc.dll]","[dhcpcsvc.dll]",10,0,0.02,0.00,
"Caller","[dhcpcsvc.dll]","[IPHLPAPI.DLL]",101,1,0.24,0.00,
"Caller","[dhcpcsvc.dll]","[rpcrt4.dll]",6,0,0.01,0.00,
"Callee","[dhcpcsvc.dll]","[dhcpcsvc.dll]",10,0,0.02,0.00,
"Callee","[dhcpcsvc.dll]","[KernelBase.dll]",69,69,0.17,0.17,
"Callee","[dhcpcsvc.dll]","[nsi.dll]",16,16,0.04,0.04,
"Callee","[dhcpcsvc.dll]","[ntdll.dll]",5,5,0.01,0.01,
"Callee","[dhcpcsvc.dll]","[rpcrt4.dll]",10,10,0.02,0.02,
"Root","[dhcpcsvc6.dll]","[dhcpcsvc6.dll]",19,0,0.05,0.00,
"Caller","[dhcpcsvc6.dll]","[IPHLPAPI.DLL]",19,0,0.05,0.00,
"Caller","[dhcpcsvc6.dll]","[rpcrt4.dll]",2,0,0.00,0.00,
"Callee","[dhcpcsvc6.dll]","[IPHLPAPI.DLL]",1,1,0.00,0.00,
"Callee","[dhcpcsvc6.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[dhcpcsvc6.dll]","[ntdll.dll]",3,3,0.01,0.01,
"Callee","[dhcpcsvc6.dll]","[rpcrt4.dll]",15,14,0.04,0.03,
"Root","[dlnashext.dll]","[dlnashext.dll]",663,4,1.59,0.01,
"Caller","[dlnashext.dll]","[dlnashext.dll]",632,3,1.51,0.01,
"Caller","[dlnashext.dll]","[PlayToDevice.dll]",292,0,0.70,0.00,
"Caller","[dlnashext.dll]","[windows.storage.dll]",364,0,0.87,0.00,
"Callee","[dlnashext.dll]","[combase.dll]",9,9,0.02,0.02,
"Callee","[dlnashext.dll]","[dlnashext.dll]",632,3,1.51,0.01,
"Callee","[dlnashext.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[dlnashext.dll]","[ntdll.dll]",3,3,0.01,0.01,
"Callee","[dlnashext.dll]","[PlayToDevice.dll]",461,0,1.10,0.00,
"Callee","[dlnashext.dll]","[propsys.dll]",7,7,0.02,0.02,
"Callee","[dlnashext.dll]","[windows.storage.dll]",178,177,0.43,0.42,
"Root","[DropboxExt.26.0.dll]","[DropboxExt.26.0.dll]",915,14,2.19,0.03,
"Caller","[DropboxExt.26.0.dll]","[comdlg32.dll]",2,0,0.00,0.00,
"Caller","[DropboxExt.26.0.dll]","[DropboxExt.26.0.dll]",178,10,0.43,0.02,
"Caller","[DropboxExt.26.0.dll]","[ExplorerFrame.dll]",2,2,0.00,0.00,
"Caller","[DropboxExt.26.0.dll]","[shell32.dll]",92,1,0.22,0.00,
"Caller","[DropboxExt.26.0.dll]","[thumbcache.dll]",34,0,0.08,0.00,
"Caller","[DropboxExt.26.0.dll]","[windows.storage.dll]",561,1,1.34,0.00,
"Callee","[DropboxExt.26.0.dll]","[combase.dll]",44,22,0.11,0.05,
"Callee","[DropboxExt.26.0.dll]","[DropboxExt.26.0.dll]",178,10,0.43,0.02,
"Callee","[DropboxExt.26.0.dll]","[kernel32.dll]",6,6,0.01,0.01,
"Callee","[DropboxExt.26.0.dll]","[KernelBase.dll]",106,106,0.25,0.25,
"Callee","[DropboxExt.26.0.dll]","[ntdll.dll]",13,13,0.03,0.03,
"Callee","[DropboxExt.26.0.dll]","[shell32.dll]",1,0,0.00,0.00,
"Callee","[DropboxExt.26.0.dll]","[windows.storage.dll]",741,574,1.77,1.37,
"Root","[drprov.dll]","[drprov.dll]",1,0,0.00,0.00,
"Caller","[drprov.dll]","[drprov.dll]",1,0,0.00,0.00,
"Caller","[drprov.dll]","[KernelBase.dll]",1,0,0.00,0.00,
"Callee","[drprov.dll]","[drprov.dll]",1,0,0.00,0.00,
"Callee","[drprov.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Root","[dui70.dll]","[dui70.dll]","3,813",470,9.12,1.12,
"Caller","[dui70.dll]","[comdlg32.dll]",11,0,0.03,0.00,
"Caller","[dui70.dll]","[dui70.dll]","3,598",448,8.61,1.07,
"Caller","[dui70.dll]","[duser.dll]","1,521",8,3.64,0.02,
