Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,133,13,133,41,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,134,13,134,166,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,154,13,154,166,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,165,13,165,69,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,183,13,183,41,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,185,13,185,69,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,204,13,204,45,
"FoodMazaPos.Cashier..ctor",1,0.00,89,0.21,204,13,204,35,
"FoodMazaPos.Cashier.btnRefresh_Click",1,0.00,"1,741",4.16,"1,499",13,"1,499",28,
"FoodMazaPos.Cashier.button1_Click",1,0.00,1,0.00,"1,036",22,"1,036",47,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,148,13,148,79,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,156,13,156,73,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,195,13,195,75,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,202,13,202,75,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,216,13,216,85,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,221,13,226,52,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,234,13,234,89,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,242,13,242,79,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,249,13,249,79,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,268,13,272,49,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,281,13,281,67,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,288,13,288,69,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,295,13,295,71,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,307,13,308,51,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,333,13,333,71,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,665,13,665,163,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,721,13,729,27,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,859,13,859,78,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,928,13,928,48,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,942,13,942,52,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,944,13,944,52,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,946,13,946,52,
"FoodMazaPos.Cashier.InitializeComponent",1,0.00,1,0.00,949,13,949,52,
"FoodMazaPos.Cashier.inventoryFunctionality",1,0.00,3,0.01,"4,552",45,"4,552",364,
"FoodMazaPos.Cashier.label3Click",1,0.00,1,0.00,536,33,543,35,
"FoodMazaPos.Cashier.Loadcategory",1,0.00,1,0.00,460,33,469,35,
"FoodMazaPos.Cashier.Loadcategory",1,0.00,1,0.00,471,33,481,35,
"FoodMazaPos.Cashier.Loadcategory",1,0.00,1,0.00,483,33,483,61,
"FoodMazaPos.Cashier.Loadproducts",1,0.00,1,0.00,635,33,642,35,
"FoodMazaPos.Cashier.Loadproducts",1,0.00,1,0.00,655,33,665,35,
"FoodMazaPos.Cashier.Timercheckingstock",1,0.00,1,0.00,184,13,184,47,
"FoodMazaPos.ExportToExcel..ctor",1,0.00,84,0.20,14,13,14,35,
"FoodMazaPos.ExportToExcel.dgv_1",1,0.00,1,0.00,206,13,206,102,
"FoodMazaPos.ExportToExcel.dgv_1",1,0.00,1,0.00,216,13,216,93,
"FoodMazaPos.ExportToExcel.dgv_5",1,0.00,1,0.00,305,13,305,88,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,73,13,73,65,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,202,13,202,74,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,322,13,322,74,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,552,13,552,64,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,658,13,658,135,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,922,13,922,50,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,937,13,937,41,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,947,13,947,43,
"FoodMazaPos.ExportToExcel.InitializeComponent",1,0.00,1,0.00,968,13,968,38,
"FoodMazaPos.ExportToExcel.LoadGridView2",1,0.00,1,0.00,84,13,84,34,
"FoodMazaPos.ExportToExcel.LoadGridView3",1,0.00,1,0.00,101,13,101,34,
"FoodMazaPos.ExportToExcel.LoadGridView4",1,0.00,1,0.00,121,13,121,34,
"FoodMazaPos.ExportToExcel.LoadGridView5",1,0.00,1,0.00,142,13,142,34,
"FoodMazaPos.ExportToExcel.LoadGridView7",1,0.00,1,0.00,184,13,184,34,
