Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[KernelBase.dll]",13,0.03,0x75E1EC9F,0,0,0,0,
"[KernelBase.dll]",13,0.03,0x75E2AC9D,0,0,0,0,
"[win32u.dll]",13,0.03,0x76592B6C,0,0,0,0,
"FoodMazaPos.SalesSummary.SalesEstimation",13,0.03,0x09FD3C73,71,21,71,80,
"[KernelBase.dll]",12,0.03,0x75E122CC,0,0,0,0,
"[KernelBase.dll]",12,0.03,0x75E25828,0,0,0,0,
"[msctf.dll]",12,0.03,0x7767CD5B,0,0,0,0,
"[ntdll.dll]",12,0.03,0x778E55C4,0,0,0,0,
"[windows.storage.dll]",12,0.03,0x752B459D,0,0,0,0,
"FoodMazaPos.Cashier.labelClick",12,0.03,0x08EC6E54,725,17,725,48,
"FoodMazaPos.InvoiceDetails.calculate",12,0.03,0x0CD566A2,101,17,101,79,
"[dui70.dll]",11,0.03,0x5EE9C5FE,0,0,0,0,
"[KernelBase.dll]",11,0.03,0x75E2C371,0,0,0,0,
"[msvcrt.dll]",11,0.03,0x757B85D5,0,0,0,0,
"[shell32.dll]",11,0.03,0x7691CD25,0,0,0,0,
"[shell32.dll]",11,0.03,0x76A3DE15,0,0,0,0,
"[System.Data.ni.dll]",11,0.03,0x64F54929,0,0,0,0,
"[windows.storage.dll]",11,0.03,0x752B949B,0,0,0,0,
"FoodMazaPos.Inventory..ctor",11,0.03,0x08EC200E,19,13,19,35,
"[comctl32.dll]",10,0.02,0x70D231C9,0,0,0,0,
"[KernelBase.dll]",10,0.02,0x75E1F0C1,0,0,0,0,
"[shell32.dll]",10,0.02,0x769C1EB5,0,0,0,0,
"[user32.dll]",10,0.02,0x7585BD56,0,0,0,0,
"[windows.storage.dll]",10,0.02,0x7521C69E,0,0,0,0,
"[windows.storage.dll]",10,0.02,0x75277576,0,0,0,0,
"[windows.storage.dll]",10,0.02,0x752775BA,0,0,0,0,
"FoodMazaPos.Cashier.labelClick",10,0.02,0x08EC6FCB,736,25,736,57,
"FoodMazaPos.Cashier.labelClick",10,0.02,0x08EC71F0,744,25,744,77,
"FoodMazaPos.Inventory.InventoryHeaderInfo",10,0.02,0x09E08796,258,17,258,38,
"FoodMazaPos.InvoiceDetails.dgv_1",10,0.02,0x0CD55EE1,75,13,75,97,
"FoodMazaPos.SalesSummary.Loadproducts",10,0.02,0x09FD5A77,280,37,280,60,
"[atlthunk.dll]",9,0.02,0x5F771ADF,0,0,0,0,
"[combase.dll]",9,0.02,0x7639DB1E,0,0,0,0,
"[combase.dll]",9,0.02,0x763E8B8C,0,0,0,0,
"[comctl32.dll]",9,0.02,0x70D2264F,0,0,0,0,
"[duser.dll]",9,0.02,0x5EDF58D9,0,0,0,0,
"[gdi32full.dll]",9,0.02,0x75FE75A0,0,0,0,0,
"[KernelBase.dll]",9,0.02,0x75E27B80,0,0,0,0,
"[KernelBase.dll]",9,0.02,0x75E2C12F,0,0,0,0,
"[mscoree.dll]",9,0.02,0x740D0C98,0,0,0,0,
"[msctf.dll]",9,0.02,0x77688935,0,0,0,0,
"[ntdll.dll]",9,0.02,0x778F7903,0,0,0,0,
"[shell32.dll]",9,0.02,0x7691D8BF,0,0,0,0,
"[StructuredQuery.dll]",9,0.02,0x5E857DD4,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",9,0.02,0x5F1FDE73,0,0,0,0,
"[uxtheme.dll]",9,0.02,0x713286C0,0,0,0,0,
"[windows.storage.dll]",9,0.02,0x751967BA,0,0,0,0,
"[windows.storage.dll]",9,0.02,0x752774F8,0,0,0,0,
"[windows.storage.dll]",9,0.02,0x7529C337,0,0,0,0,
"FoodMazaPos.ExportToExcel.Dispose",9,0.02,0x09E6BD95,20,13,20,37,
"FoodMazaPos.ExportToExcel.LoadGridView1",9,0.02,0x09E6AA24,50,13,50,55,
"FoodMazaPos.SalesSummary.Loadproducts",9,0.02,0x09FD5ADF,282,37,282,62,
"[atlthunk.dll]",8,0.02,0x5F77194F,0,0,0,0,
"[atlthunk.dll]",8,0.02,0x5F771A8F,0,0,0,0,
"[combase.dll]",8,0.02,0x763A098E,0,0,0,0,
"[combase.dll]",8,0.02,0x7640F96D,0,0,0,0,
"[comctl32.dll]",8,0.02,0x70D2A505,0,0,0,0,
"[DropboxExt.26.0.dll]",8,0.02,0x5DCDE96C,0,0,0,0,
"[ExplorerFrame.dll]",8,0.02,0x60355E09,0,0,0,0,
"[gdi32.dll]",8,0.02,0x76EB4518,0,0,0,0,
"[KernelBase.dll]",8,0.02,0x75DF996C,0,0,0,0,
"[KernelBase.dll]",8,0.02,0x75E0F2F3,0,0,0,0,
"[KernelBase.dll]",8,0.02,0x75E111AE,0,0,0,0,
"[mscorlib.ni.dll]",8,0.02,0x72D48331,0,0,0,0,
"[msvcrt.dll]",8,0.02,0x757F8F59,0,0,0,0,
"[shell32.dll]",8,0.02,0x768CAD65,0,0,0,0,
"[shell32.dll]",8,0.02,0x7691D068,0,0,0,0,
"[shell32.dll]",8,0.02,0x76ACA280,0,0,0,0,
"[uxtheme.dll]",8,0.02,0x713305E2,0,0,0,0,
"[windows.storage.dll]",8,0.02,0x75194986,0,0,0,0,
"[windows.storage.dll]",8,0.02,0x751B8BB7,0,0,0,0,
